model,objective,seed,scenario_index,repeat_index,run_number,success,goal_pursuit,social_adaptation,world_grounding,strategic_sophistication,total,goal_pursuit_bf,strategic_sophistication_bf,total_bf,cluster,turn_first_talk,turn_first_captain_talk,turn_captain_trust_70,turn_first_probe,turns_used
claude_haiku,gain_watch_trust,20260690,9,5,49,0,3.8667,3.4789,4.6667,3.6686,3.92,3.8667,3.6686,3.9202,tier_2,7,7,15,7,50
claude_haiku,identify_marked_contact,20260302,2,1,2,1,5.0,3.5286,4.4476,4.7643,4.44,4.6,4.1643,4.1851,tier_2,6,,,6,35
claude_haiku,identify_marked_contact,20260302,2,2,12,1,5.0,3.1,4.2143,4.1504,4.12,4.6,3.5504,3.8662,tier_2,6,19,,6,19
claude_haiku,identify_marked_contact,20260302,2,3,22,1,5.0,3.4,4.5143,4.6144,4.38,4.6,4.0144,4.1322,tier_2,6,,,6,29
claude_haiku,identify_marked_contact,20260302,2,4,32,0,2.0,2.8857,4.4476,3.191,3.13,2.0,3.191,3.1311,tier_2,6,21,,6,50
claude_haiku,identify_marked_contact,20260302,2,5,42,0,2.0,3.1,4.581,3.8017,3.37,2.0,3.8017,3.3707,tier_2,6,37,,6,50
claude_haiku,identify_marked_contact,20260399,4,1,4,1,5.0,3.4,4.5143,4.6489,4.39,4.6,4.0489,4.1408,tier_2,6,,,6,29
claude_haiku,identify_marked_contact,20260399,4,2,14,1,5.0,2.5,4.1476,3.725,3.84,4.6,3.125,3.5932,tier_2,6,,,6,16
claude_haiku,identify_marked_contact,20260399,4,3,24,0,2.0,3.3,4.581,3.8833,3.44,2.0,3.8833,3.4411,tier_2,6,40,,6,50
claude_haiku,identify_marked_contact,20260399,4,4,34,1,5.0,3.5286,4.5143,4.8083,4.46,4.6,4.2083,4.2128,tier_2,6,21,,6,40
claude_haiku,identify_marked_contact,20260399,4,5,44,1,5.0,2.5,4.1476,3.725,3.84,4.6,3.125,3.5932,tier_2,6,,,6,16
claude_haiku,identify_marked_contact,20260496,6,1,6,1,5.0,3.6,4.5143,4.787,4.48,4.6,4.187,4.2253,tier_2,6,,,6,41
claude_haiku,identify_marked_contact,20260496,6,2,16,1,5.0,3.1,4.4476,4.3026,4.21,4.6,3.7026,3.9626,tier_2,6,,,6,29
claude_haiku,identify_marked_contact,20260496,6,3,26,1,5.0,3.4,4.5143,4.787,4.43,4.6,4.187,4.1753,tier_2,6,,,6,41
claude_haiku,identify_marked_contact,20260496,6,4,36,1,5.0,3.36,4.4476,4.3937,4.3,4.6,3.7937,4.0503,tier_2,6,,,6,32
claude_haiku,identify_marked_contact,20260496,6,5,46,0,2.0,3.3,4.581,3.8233,3.43,2.0,3.8233,3.4261,tier_2,6,35,,6,50
claude_haiku,identify_marked_contact,20260593,8,1,8,0,3.925,3.64,4.6476,4.61,4.21,3.925,4.61,4.2057,tier_2,6,43,,6,50
claude_haiku,identify_marked_contact,20260593,8,2,18,0,2.0,2.8,4.5143,3.3675,3.17,2.0,3.3675,3.1704,tier_2,6,40,,6,50
claude_haiku,identify_marked_contact,20260593,8,3,28,0,3.925,3.1,4.5143,3.97,3.88,3.925,3.97,3.8773,tier_2,6,48,,6,50
claude_haiku,identify_marked_contact,20260593,8,4,38,1,5.0,2.5,4.3143,3.7515,3.89,4.6,3.1515,3.6415,tier_2,6,,,6,22
claude_haiku,identify_marked_contact,20260593,8,5,48,1,5.0,3.1,4.3143,4.1504,4.14,4.6,3.5504,3.8912,tier_2,6,19,,6,19
claude_haiku,identify_marked_contact,20260690,10,1,10,1,5.0,3.7,4.5143,4.7377,4.49,4.6,4.1377,4.238,tier_2,7,7,,7,46
claude_haiku,identify_marked_contact,20260690,10,2,20,1,5.0,3.3,4.5143,4.7594,4.39,4.6,4.1594,4.1434,tier_2,6,,,6,46
claude_haiku,identify_marked_contact,20260690,10,3,30,0,3.7,3.1857,4.581,4.0495,3.88,3.7,4.0495,3.879,tier_2,7,,,7,50
claude_haiku,identify_marked_contact,20260690,10,4,40,1,5.0,3.4,4.381,4.731,4.38,4.6,4.131,4.128,tier_2,7,7,,7,28
claude_haiku,identify_marked_contact,20260690,10,5,50,1,5.0,2.8,4.5143,4.3764,4.17,4.6,3.7764,3.9227,tier_2,6,,,6,45
claude_opus,gain_watch_trust,20260302,1,1,1,0,3.5111,3.72,4.7238,4.2033,4.04,3.5111,4.2033,4.0396,tier_2,6,6,11,6,50
claude_opus,gain_watch_trust,20260302,1,2,11,0,3.1556,3.7,4.581,3.6756,3.78,3.1556,3.6756,3.778,tier_2,5,5,11,5,50
claude_opus,gain_watch_trust,20260302,1,3,21,0,3.6444,3.5615,4.5905,3.7221,3.88,3.6444,3.7221,3.8796,tier_2,6,6,10,6,50
claude_opus,gain_watch_trust,20260302,1,4,31,0,4.4,2.9,4.581,3.625,3.88,4.4,3.625,3.8765,tier_2,5,5,11,5,50
claude_opus,gain_watch_trust,20260302,1,5,41,0,4.4,2.45,4.5238,2.9833,3.59,4.4,2.9833,3.5893,tier_2,6,6,11,6,50
claude_opus,gain_watch_trust,20260399,3,1,3,0,3.9556,3.025,4.5905,3.4079,3.74,3.9556,3.4079,3.7447,tier_2,6,6,10,6,50
claude_opus,gain_watch_trust,20260399,3,2,13,0,3.9111,2.8769,4.5143,3.4785,3.7,3.9111,3.4785,3.6952,tier_2,5,5,12,5,50
claude_opus,gain_watch_trust,20260399,3,3,23,0,3.3778,3.2333,4.8571,3.9511,3.85,3.3778,3.9511,3.8548,tier_2,6,6,11,6,50
claude_opus,gain_watch_trust,20260399,3,4,33,0,3.5556,4.0,4.5905,4.0033,4.04,3.5556,4.0033,4.0373,tier_2,6,6,10,6,50
claude_opus,gain_watch_trust,20260399,3,5,43,0,3.3333,3.18,4.7238,3.7533,3.75,3.3333,3.7533,3.7476,tier_2,6,6,13,6,50
claude_opus,gain_watch_trust,20260496,5,1,5,0,3.8222,2.8364,4.5143,3.5109,3.67,3.8222,3.5109,3.6709,tier_2,5,5,16,5,50
claude_opus,gain_watch_trust,20260496,5,2,15,0,4.0889,3.0571,4.6571,3.5157,3.83,4.0889,3.5157,3.8297,tier_2,5,5,37,5,50
claude_opus,gain_watch_trust,20260496,5,3,25,0,3.0222,4.0,4.581,3.8856,3.87,3.0222,3.8856,3.8722,tier_2,5,5,11,5,50
claude_opus,gain_watch_trust,20260496,5,4,35,0,3.4667,2.2846,4.8,3.17,3.43,3.4667,3.17,3.4303,tier_2,5,5,16,5,50
claude_opus,gain_watch_trust,20260496,5,5,45,0,3.9111,3.8,4.7238,4.19,4.16,3.9111,4.19,4.1562,tier_2,6,6,11,6,50
claude_opus,gain_watch_trust,20260593,7,1,7,0,3.3778,3.2143,4.5905,3.681,3.72,3.3778,3.681,3.7159,tier_2,6,6,13,6,50
claude_opus,gain_watch_trust,20260593,7,2,17,0,3.3333,3.8857,4.7238,4.2133,4.04,3.3333,4.2133,4.039,tier_2,6,6,11,6,50
claude_opus,gain_watch_trust,20260593,7,3,27,0,3.9556,2.2714,4.4571,2.92,3.4,3.9556,2.92,3.401,tier_2,5,5,17,5,50
claude_opus,gain_watch_trust,20260593,7,4,37,0,3.1556,3.3,4.6476,3.9467,3.76,3.1556,3.9467,3.7625,tier_2,5,5,50,5,50
claude_opus,gain_watch_trust,20260593,7,5,47,1,4.5222,2.3667,4.181,3.6479,3.68,3.7222,3.0479,3.3294,tier_2,5,5,17,5,22
claude_opus,gain_watch_trust,20260690,9,1,9,0,3.6889,3.8,4.6571,4.25,4.1,3.6889,4.25,4.099,tier_2,6,6,11,6,50
claude_opus,gain_watch_trust,20260690,9,2,19,0,4.3111,2.45,4.5905,3.1467,3.62,4.3111,3.1467,3.6246,tier_2,6,6,10,6,50
claude_opus,gain_watch_trust,20260690,9,3,29,0,3.9556,4.0667,4.5905,4.0356,4.16,3.9556,4.0356,4.1621,tier_2,6,6,10,6,50
claude_opus,gain_watch_trust,20260690,9,4,39,0,4.0,3.7455,4.6476,4.203,4.15,4.0,4.203,4.149,tier_2,6,6,10,6,50
claude_opus,gain_watch_trust,20260690,9,5,49,0,3.6444,3.7143,4.7238,4.2576,4.09,3.6444,4.2576,4.085,tier_2,6,6,10,6,50
claude_opus,identify_marked_contact,20260302,2,1,2,1,5.0,3.9,4.581,4.8959,4.59,4.6,4.2959,4.3442,tier_2,5,5,,5,43
claude_opus,identify_marked_contact,20260302,2,2,12,0,2.0,3.1,4.581,3.9633,3.41,2.0,3.9633,3.4111,tier_2,5,5,,5,50
claude_opus,identify_marked_contact,20260302,2,3,22,0,2.0,3.1,4.437,3.9617,3.37,2.0,3.9617,3.3747,tier_2,5,5,,5,50
claude_opus,identify_marked_contact,20260302,2,4,32,1,5.0,3.4,4.3714,4.5722,4.34,4.6,3.9722,4.0859,tier_2,5,5,,5,27
claude_opus,identify_marked_contact,20260302,2,5,42,0,2.0,2.95,4.581,3.9633,3.37,2.0,3.9633,3.3736,tier_2,5,5,,5,50
claude_opus,identify_marked_contact,20260399,4,1,4,0,2.0,3.7,4.7238,3.9633,3.6,2.0,3.9633,3.5968,tier_2,6,6,,6,50
claude_opus,identify_marked_contact,20260399,4,2,14,0,4.0,3.2538,4.7238,4.2974,4.07,4.0,4.2974,4.0688,tier_2,5,5,,5,50
claude_opus,identify_marked_contact,20260399,4,3,24,1,5.0,4.1286,4.2381,4.7322,4.52,4.6,4.1322,4.2747,tier_2,5,5,,5,29
claude_opus,identify_marked_contact,20260399,4,4,34,0,2.0,3.08,4.5143,3.39,3.25,2.0,3.39,3.2461,tier_2,5,5,,5,50
claude_opus,identify_marked_contact,20260399,4,5,44,0,2.0,3.5,4.5048,3.9789,3.5,2.0,3.9789,3.4959,tier_2,5,5,,5,50
claude_opus,identify_marked_contact,20260496,6,1,6,1,5.0,3.5545,4.2267,4.7154,4.37,4.6,4.1154,4.1241,tier_2,5,5,,5,35
claude_opus,identify_marked_contact,20260496,6,2,16,0,3.925,3.3333,4.5905,4.3522,4.05,3.925,4.3522,4.0503,tier_2,6,6,,6,50
claude_opus,identify_marked_contact,20260496,6,3,26,1,5.0,3.5,4.381,4.7044,4.4,4.6,4.1044,4.1463,tier_2,5,5,,5,29
claude_opus,identify_marked_contact,20260496,6,4,36,1,5.0,3.4,4.3143,4.4333,4.29,4.6,3.8333,4.0369,tier_2,6,6,,6,18
claude_opus,identify_marked_contact,20260496,6,5,46,1,5.0,3.2538,4.381,4.7197,4.34,4.6,4.1197,4.0886,tier_2,5,5,,5,36
claude_opus,identify_marked_contact,20260593,8,1,8,1,5.0,3.4,4.5143,4.5866,4.38,4.6,3.9866,4.1252,tier_2,6,6,,6,31
claude_opus,identify_marked_contact,20260593,8,2,18,1,5.0,3.4,4.3143,4.4333,4.29,4.6,3.8333,4.0369,tier_2,6,6,,6,18
claude_opus,identify_marked_contact,20260593,8,3,28,1,5.0,3.4,4.0714,4.4333,4.23,4.6,3.8333,3.9762,tier_2,5,5,,5,18
claude_opus,identify_marked_contact,20260593,8,4,38,0,4.42,3.5,4.6476,4.34,4.23,4.42,4.34,4.2269,tier_2,5,5,,5,50
claude_opus,identify_marked_contact,20260593,8,5,48,1,5.0,3.3,4.3663,4.7076,4.34,4.6,4.1076,4.0935,tier_2,6,6,,6,32
claude_opus,identify_marked_contact,20260690,10,1,10,0,2.0,2.98,4.5143,2.93,3.11,2.0,2.93,3.1061,tier_2,7,7,,7,50
claude_opus,identify_marked_contact,20260690,10,2,20,0,3.2286,3.1273,4.7333,3.5155,3.65,3.2286,3.5155,3.6512,tier_2,7,7,,7,50
claude_opus,identify_marked_contact,20260690,10,3,30,1,5.0,3.16,4.5143,4.5396,4.3,4.6,3.9396,4.0535,tier_2,7,7,,7,32
claude_opus,identify_marked_contact,20260690,10,4,40,1,5.0,3.2538,4.7238,4.9566,4.48,4.6,4.3566,4.2336,tier_2,7,7,,7,49
claude_opus,identify_marked_contact,20260690,10,5,50,1,5.0,3.4,4.3714,4.6449,4.35,4.6,4.0449,4.1041,tier_2,7,7,,7,26
claude_sonnet,gain_watch_trust,20260302,1,1,1,0,3.6444,3.2538,4.8,3.9223,3.91,3.6444,3.9223,3.9051,tier_2,6,6,42,6,50
claude_sonnet,gain_watch_trust,20260302,1,2,11,0,2.9778,3.8462,4.9333,4.1767,3.98,2.9778,4.1767,3.9835,tier_2,7,7,,9,50
claude_sonnet,gain_watch_trust,20260302,1,3,21,0,2.8444,3.3545,4.8,3.64,3.66,2.8444,3.64,3.6597,tier_2,6,6,,6,50
claude_sonnet,gain_watch_trust,20260302,1,4,31,0,4.4,2.7286,4.1691,2.96,3.56,4.4,2.96,3.5644,tier_2,6,6,11,6,50
claude_sonnet,gain_watch_trust,20260302,1,5,41,0,3.6444,3.8,4.7238,4.3021,4.12,3.6444,4.3021,4.1176,tier_2,7,7,10,9,50
claude_sonnet,gain_watch_trust,20260399,3,1,3,0,3.4222,2.6,4.656,3.09,3.44,3.4222,3.09,3.4421,tier_2,6,6,28,6,50
claude_sonnet,gain_watch_trust,20260399,3,2,13,0,3.8222,2.5526,4.312,2.94,3.41,3.8222,2.94,3.4067,tier_2,7,7,10,9,50
claude_sonnet,gain_watch_trust,20260399,3,3,23,0,3.3333,3.76,4.5905,3.9567,3.91,3.3333,3.9567,3.9101,tier_2,6,6,11,6,50
claude_sonnet,gain_watch_trust,20260399,3,4,33,0,3.6444,3.38,4.6667,3.7367,3.86,3.6444,3.7367,3.8569,tier_2,6,6,36,6,50
claude_sonnet,gain_watch_trust,20260399,3,5,43,0,3.7333,3.38,4.6667,3.8167,3.9,3.7333,3.8167,3.8992,tier_2,7,7,13,9,50
claude_sonnet,gain_watch_trust,20260496,5,1,5,0,2.9778,3.5545,4.8667,3.7433,3.79,2.9778,3.7433,3.7856,tier_2,7,7,16,9,50
claude_sonnet,gain_watch_trust,20260496,5,2,15,0,2.9778,3.2538,4.8667,3.7633,3.72,2.9778,3.7633,3.7154,tier_2,6,6,50,6,50
claude_sonnet,gain_watch_trust,20260496,5,3,25,0,2.7111,3.84,4.9333,4.0367,3.88,2.7111,4.0367,3.8803,tier_2,6,6,,6,50
claude_sonnet,gain_watch_trust,20260496,5,4,35,0,3.7333,3.5,4.8,3.8333,3.97,3.7333,3.8333,3.9667,tier_2,6,6,41,6,50
claude_sonnet,gain_watch_trust,20260496,5,5,45,0,2.7556,3.3545,4.8,3.6,3.63,2.7556,3.6,3.6275,tier_2,6,6,,6,50
claude_sonnet,gain_watch_trust,20260593,7,1,7,0,4.1778,2.9,4.5238,3.2958,3.72,4.1778,3.2958,3.7244,tier_2,6,6,19,6,50
claude_sonnet,gain_watch_trust,20260593,7,2,17,0,3.5556,3.38,4.8667,3.9467,3.94,3.5556,3.9467,3.9372,tier_2,7,7,10,9,50
claude_sonnet,gain_watch_trust,20260593,7,3,27,0,4.2667,3.2692,4.8,3.8669,4.05,4.2667,3.8669,4.0507,tier_2,7,7,10,9,50
claude_sonnet,gain_watch_trust,20260593,7,4,37,0,3.6889,2.825,4.6571,3.4712,3.66,3.6889,3.4712,3.6606,tier_2,6,6,11,6,50
claude_sonnet,gain_watch_trust,20260593,7,5,47,0,3.4222,3.38,4.8,3.8233,3.86,3.4222,3.8233,3.8564,tier_2,6,6,14,6,50
claude_sonnet,gain_watch_trust,20260690,9,1,9,0,3.9556,3.35,4.8,3.895,4.0,3.9556,3.895,4.0001,tier_2,8,8,13,10,50
claude_sonnet,gain_watch_trust,20260690,9,2,19,0,3.5111,3.4143,4.8,3.9243,3.91,3.5111,3.9243,3.9124,tier_2,8,8,15,8,50
claude_sonnet,gain_watch_trust,20260690,9,3,29,0,1.1778,3.42,4.7238,3.4833,3.2,1.1778,3.4833,3.2012,tier_2,6,,,6,50
claude_sonnet,gain_watch_trust,20260690,9,4,39,0,3.6444,3.65,4.7333,4.0217,4.01,3.6444,4.0217,4.0124,tier_2,8,8,13,11,50
claude_sonnet,gain_watch_trust,20260690,9,5,49,0,3.7333,3.35,4.8,3.9775,3.97,3.7333,3.9775,3.9652,tier_2,8,8,13,10,50
claude_sonnet,identify_marked_contact,20260302,2,1,2,1,5.0,3.4,4.6476,4.9718,4.5,4.6,4.3718,4.2549,tier_2,6,6,,6,39
claude_sonnet,identify_marked_contact,20260302,2,2,12,0,2.0,3.6538,4.7905,3.989,3.61,2.0,3.989,3.6083,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260302,2,3,22,0,2.0,3.7545,4.7905,4.0039,3.64,2.0,4.0039,3.6372,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260302,2,4,32,1,5.0,4.1286,4.3143,4.5964,4.51,4.6,3.9964,4.2598,tier_2,6,6,,6,23
claude_sonnet,identify_marked_contact,20260302,2,5,42,0,2.0,2.7,4.8667,3.5658,3.28,2.0,3.5658,3.2831,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260399,4,1,4,1,5.0,3.4,3.981,4.1333,4.13,4.6,3.5333,3.8786,tier_2,6,6,,6,15
claude_sonnet,identify_marked_contact,20260399,4,2,14,0,2.0,3.4455,4.9333,3.953,3.58,2.0,3.953,3.583,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260399,4,3,24,0,4.0273,3.9333,4.6667,4.2611,4.22,4.0273,4.2611,4.2221,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260399,4,4,34,1,5.0,3.8,4.5905,4.8652,4.56,5.0,4.2652,4.4139,tier_2,6,6,,6,33
claude_sonnet,identify_marked_contact,20260399,4,5,44,1,5.0,3.8,3.981,4.1238,4.23,4.6,3.5238,3.9762,tier_2,6,6,,6,14
claude_sonnet,identify_marked_contact,20260496,6,1,6,1,5.0,4.0857,4.5181,4.9452,4.64,4.6,4.3452,4.3873,tier_2,6,6,,6,42
claude_sonnet,identify_marked_contact,20260496,6,2,16,1,5.0,3.8,3.981,4.1238,4.23,4.6,3.5238,3.9762,tier_2,6,6,,6,14
claude_sonnet,identify_marked_contact,20260496,6,3,26,0,2.8,3.58,4.7333,4.08,3.8,2.8,4.08,3.7983,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260496,6,4,36,1,5.0,4.1,4.3143,4.5924,4.5,4.6,3.9924,4.2517,tier_2,6,6,,6,22
claude_sonnet,identify_marked_contact,20260496,6,5,46,0,2.8,3.38,4.7333,4.1,3.75,2.8,4.1,3.7533,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260593,8,1,8,1,5.0,3.8,4.5905,4.8738,4.57,5.0,4.2738,4.4161,tier_2,6,6,,6,35
claude_sonnet,identify_marked_contact,20260593,8,2,18,1,5.0,3.7,4.7238,4.9452,4.59,5.0,4.3452,4.4423,tier_2,6,6,,6,42
claude_sonnet,identify_marked_contact,20260593,8,3,28,1,5.0,4.3,4.7238,4.9452,4.74,5.0,4.3452,4.5923,tier_2,6,6,,6,42
claude_sonnet,identify_marked_contact,20260593,8,4,38,0,2.0,3.6364,4.7238,3.5906,3.49,2.0,3.5906,3.4877,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260593,8,5,48,0,2.8,3.4,4.7238,3.8242,3.69,2.8,3.8242,3.687,tier_2,6,6,,6,50
claude_sonnet,identify_marked_contact,20260690,10,1,10,0,2.0,2.6,4.8667,3.5683,3.26,2.0,3.5683,3.2588,tier_2,8,8,,8,50
claude_sonnet,identify_marked_contact,20260690,10,2,20,0,2.0,2.7333,4.6571,3.3822,3.19,2.0,3.3822,3.1932,tier_2,8,8,,8,50
claude_sonnet,identify_marked_contact,20260690,10,3,30,1,5.0,3.0,4.7238,4.5038,4.31,4.6,3.9038,4.0569,tier_2,8,8,,8,39
claude_sonnet,identify_marked_contact,20260690,10,4,40,0,2.0,2.6429,4.5238,2.6633,2.96,2.0,2.6633,2.9575,tier_2,8,8,,8,50
claude_sonnet,identify_marked_contact,20260690,10,5,50,0,2.8,3.2364,4.7333,3.6264,3.6,2.8,3.6264,3.599,tier_2,8,8,,8,50
deepseek_r1,gain_watch_trust,20260302,1,1,1,0,1.1778,3.0,4.6571,2.9633,2.95,1.1778,2.9633,2.9496,tier_2,14,,,14,50
deepseek_r1,gain_watch_trust,20260302,1,2,11,0,3.0222,3.7,4.6571,3.5367,3.73,3.0222,3.5367,3.729,tier_2,5,10,,5,50
deepseek_r1,gain_watch_trust,20260302,1,3,21,0,4.1778,2.7,4.5238,3.0433,3.61,4.1778,3.0433,3.6112,tier_2,7,7,11,7,50
deepseek_r1,gain_watch_trust,20260302,1,4,31,0,3.5111,3.7,4.6571,3.815,3.92,3.5111,3.815,3.9208,tier_2,10,10,19,11,50
deepseek_r1,gain_watch_trust,20260302,1,5,41,0,1.1778,2.8,4.6571,3.1233,2.94,1.1778,3.1233,2.9396,tier_2,22,,,22,50
deepseek_r1,gain_watch_trust,20260399,3,1,3,0,3.4222,3.0364,4.4476,3.453,3.59,3.4222,3.453,3.5898,tier_2,7,18,28,7,50
deepseek_r1,gain_watch_trust,20260399,3,2,13,0,1.0444,3.4,4.5905,2.7833,2.95,1.0444,2.7833,2.9546,tier_2,7,,,7,50
deepseek_r1,gain_watch_trust,20260399,3,3,23,0,2.9778,3.6,4.7238,3.8633,3.79,2.9778,3.8633,3.7912,tier_2,5,42,50,5,50
deepseek_r1,gain_watch_trust,20260399,3,4,33,0,3.4667,3.7,4.9333,3.9417,4.01,3.4667,3.9417,4.0104,tier_2,7,7,10,7,50
deepseek_r1,gain_watch_trust,20260399,3,5,43,0,3.6,3.16,4.4476,3.3067,3.63,3.6,3.3067,3.6286,tier_2,10,10,16,12,50
deepseek_r1,gain_watch_trust,20260496,5,1,5,0,3.6889,3.0769,4.381,3.3318,3.62,3.6889,3.3318,3.6196,tier_2,4,16,24,4,50
deepseek_r1,gain_watch_trust,20260496,5,2,15,0,3.5111,3.5,4.6667,3.6267,3.83,3.5111,3.6267,3.8261,tier_2,8,8,20,8,50
deepseek_r1,gain_watch_trust,20260496,5,3,25,0,1.0444,3.2857,4.6571,3.1143,3.03,1.0444,3.1143,3.0254,tier_2,12,,,12,50
deepseek_r1,gain_watch_trust,20260496,5,4,35,0,3.6,2.7667,4.5905,3.0467,3.5,3.6,3.0467,3.501,tier_2,10,10,18,10,50
deepseek_r1,gain_watch_trust,20260496,5,5,45,0,4.1333,3.1,4.6571,3.5417,3.86,4.1333,3.5417,3.858,tier_2,6,6,13,10,50
deepseek_r1,gain_watch_trust,20260593,7,1,7,0,3.1556,3.86,4.7905,3.8526,3.91,3.1556,3.8526,3.9147,tier_2,8,8,49,12,50
deepseek_r1,gain_watch_trust,20260593,7,2,17,1,4.7444,3.1143,4.3143,4.106,4.07,3.9444,3.506,3.7198,tier_2,4,9,16,4,26
deepseek_r1,gain_watch_trust,20260593,7,3,27,0,2.9778,3.5667,4.5131,3.5922,3.66,2.9778,3.5922,3.6625,tier_2,8,8,,8,50
deepseek_r1,gain_watch_trust,20260593,7,4,37,0,3.9556,3.1,4.5905,3.3983,3.76,3.9556,3.3983,3.7611,tier_2,7,7,15,7,50
deepseek_r1,gain_watch_trust,20260593,7,5,47,0,3.7333,3.1273,4.6571,3.4255,3.74,3.7333,3.4255,3.7358,tier_2,8,8,15,10,50
deepseek_r1,gain_watch_trust,20260690,9,1,9,0,3.7333,3.2,4.8,3.485,3.8,3.7333,3.485,3.8046,tier_2,6,15,19,6,50
deepseek_r1,gain_watch_trust,20260690,9,2,19,0,3.6889,3.1692,4.7333,3.629,3.81,3.6889,3.629,3.8051,tier_2,11,11,16,11,50
deepseek_r1,gain_watch_trust,20260690,9,3,29,0,3.5556,3.9545,4.656,3.86,4.01,3.5556,3.86,4.0065,tier_2,12,12,24,12,50
